 ,DF,TEST,Thema / Kategorie,Name Intent / Problem,Eltern-Intent,Grundlegende Fragestellungen,Alternative Frageformulierungen (Training Phrases),Antwort (Textform),Antwort (Verweis / URL),Quelle,Kommentare
15,FALSE,TRUE,Filestore,Anwendung_Filestore_aenderungen,,Wie mache ich ungewollte Änderungen rückgängig?,"Wie kann ich die vorherige Version in Filestore wiederherstellen?
Versionierung Filestore","Der FileStore unterstützt eine einfache Versionskontrolle für Dateien. Die Versionskontrolle erstellt Backups von Dateien, die über den Versionen-Link erreichbar sind. Dieser Link enthält die Geschichte der Datei, zu der Du zurück zu einer früheren Version wechseln kannst. Änderungen werden in Abständen von mehr als 2 Minuten gemacht und unter data/[Benutzername]/versions gespeichert. \n Wenn Du eine bestimmte Version einer Datei wiederherstellen möchtest, bewege den Cursor auf eine Datei und klicke auf den Versionen-Link. Wenn eine Version verfügbar ist, solltest Du eine Liste sehen, in der Du die gewünschte Datei auswählen kannst. \n Weitere Informationen kannst Du hier finden: https://www.hdm-stuttgart.de/intranet/services/iz-it/datenablage ",https://www.hdm-stuttgart.de/intranet/services/iz-it/datenablage,,Der Link wird nicht in den Intent übernommen
16,FALSE,TRUE,Filestore,Anwendung_Filestore_wiederherstellen,,Wie stelle ich Dateien wieder her?,"Gelöschte Dateien wiederherstellen? 
Versehentliche Datei gelöscht, was tun?","Der Papierkorb stellt ein Sicherheitsfeature dar, um das versehentliche Löschen von Dateien nicht fatal enden zu lassen. Um Dateien aus dem Papierkorb wiederherzustellen, mache einen Rechtsklick auf die Datei und wähle ""Wiederherstellen"". Bitte beachte, dass der Inhalt des Papierkorbes nicht dauerhaft gespeichert wird. \n Anleitungen und weitere Details zum Filestore findest Du hier: https://www.hdm-stuttgart.de/intranet/services/iz-it/datenablage ",https://www.hdm-stuttgart.de/intranet/services/iz-it/datenablage,,
17,FALSE,FALSE,Filestore,Anwendung_Filestore_webdav,,Wie funktioniert der Zugang über WEBDAV?,"Wie binde ich den Filestore in mein Netzlaufwerk ein?
Zufriff auf Daten über WEBDAV?","Auf die Daten kann mit jedem beliebigen WebDAV-Client zugegriffen werden. Die WebDAV-URL lautet: https://filestore.hdm-stuttgart.de/remote.php/webdav/ \n Unter Windows ist darauf zu achten, dass der Dienst WebClient gestartet ist! \n Eine detaillierte Anleitung steht hier zur Verfügung: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Filestore_Netzlaufwerkeinbinden.pdf  
",https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Filestore_Netzlaufwerkeinbinden.pdf,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/Filestore_Netzlaufwerkeinbinden.pdf,Link geändert
18,FALSE,TRUE,Threema Work,Wissen_Threema_was,,Was ist Threema?,"welchen Instant-Messenger gibt es?
Worum handelt es sich bei Threema?","Threema ist ein sicherer Instant-Messenger aus der Schweiz, der konsequent auf Datenschutz und Datenvermeidung ausgelegt ist. \n Hier gibt es mehr Informationen: https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch ",https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch,https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch,
19,FALSE,TRUE,Threema Work,Wissen_Threema_warum,,Warum Threema.Work,"Wieso Threema Work?
Threema Work vs Threema
Unterschied Threema und Threema.Work",Threema.Work ist sicher und datenschutzkonform und dadurch für den professionellen Gebrauch in der internen Unternehmenskommunikation sehr geeignet. \n Zusätzliche Informationen sind hier zu finden: https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch ,https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch,https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch,
20,FALSE,TRUE,Threema Work,Wissen_Threema_dsgvo,,Threema DSGVO,"Rechtskonformität bei Threema?
Wie ist der Datenschutz bei Threema?",Threema Work ist mit der Europäischen Datenschutz- Grundverordnung (DSGVO) konform. Als Schweizer Unternehmen ist Threema zusätzlich dem strengen Schweizer Datenschutzgesetz (DSG) sowie der Verordnung zum Bundesgesetz über den Datenschutz (VDSG) unterworfen. \n Eine Datenübermittlung aus der EU in die Schweiz ist ohne Überprüfung rechtlich zulässig. Gemäß Art. 25 Abs. 6 der Europäischen Datenschutzrichtlinie ist das Datenschutzniveau des schweizerischen Gesetzes äquivalent zum europäischen Recht. \n Details gibt es im Handbuch: https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch ,https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch,https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch,
21,FALSE,TRUE,Threema Work,Anwendung_Threema_installieren,,Threema installieren,"Threema Work installieren
Wie installiere ich Threema?
Wie installiere ich Threema Work?
",Downloade und installiere die App „Threema Work“ aus dem App Store des Smartphones/Tablets. Die App ist sowohl für iOS als auch für Android verfügbar. Bitte nur auf EINEM Gerät installieren. \n  Wichtig: NICHT die kostenpflichtige Variante für private Anwender verwenden. Im Handbuch gibt es weitere Informationen zu Threema: https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch ,https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch,https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch,
22,FALSE,FALSE,Threema Work,Anwendung_Threema_backups,,Threema Backups,"
Wie erstelle ich ein Backup?
Wie sichere ich meine Datern? ","Bei Threema gibt es zwei unterschiedliche Arten Backups zu erstellen. Zum einen das Safe-Backup und zum anderen das Daten Backup. \n Das Threema Safe-Backup sichert folgende Daten: \n• Schlüssel \n• Kontakte und Gruppen \n• Einstellungen \n \n Dieses Backup wird maximal 180 Tage auf dem Server von Threema gespeichert. Du solltest darauf achten, regelmäßig Backups zu machen, falls Du zum Beispiel das Smartphone wechselst. Dies ist notwendig für eine Wiederherstellung. \n \n Das Datenbackup sichert: \n• ID und Schlüsselpaar \n• Kontakte und der Vertrauensstatus \n• Gruppenmitgliedschaften \n• Chats, Medien und Dateien (optional) \n Dies geschieht nicht automatisch und sollte regelmäßig erneuert werden. Das Backup wird lokal auf Deinem Smartphone gesichert und sollte auch extern gespeichert werden (diese Funktionalität besteht nur unter Android). \n Weitere Informationen zu Threema sind im Handbuch vorhanden: https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch ",https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch,https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch,
23,FALSE,FALSE,Threema Work,Anwendung_Threema_settings,,Threema Einstellungen,"Wo ist das Threema Adressbuch?
Wie stelle ich meine Privatsphäre in Threema ein?
","In den Einstellungen von Threema Work lassen sich eine Vielzahl von Einstellungen der App verändern. Dazu gehören unter anderem Privatsphäre, Sicherheit, Erscheinungsbild oder aber auch die Benachrichtigungen. \n Weitere Informationen findest Du hier: https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch ",https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch,https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch,
24,FALSE,FALSE,Threema Work,Anwendung_Threema_funktionen,,Threema Funktionen,"Threema Nachricht schreiben?
Threema Gruppenchat?
","Threema bietet dir folgende Grundfunktionen für Gruppen- und Einzelchats: \n• Sende Text- und Sprachnachrichten \n• Tätige Sprachanrufe \n• Teile Bilder, Videos, animierte GIFs und Standorte \n• Sende Dateien beliebigen Formats \n• Verwende Threema auf dem Desktop /n Weiterführende Infos gibt es in diesem Handbuch: https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch ",https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch,https://www.hdm-stuttgart.de/intranet/services/iz-it/diy/pdf/ThreemaWork_Handbuch,
26,FALSE,FALSE,eduroam,eduroam_general_was,,Was ist eduroam?,"Internetzugang an der Universität?
WLAN an der Uni?","Education Roaming (eduroam) ist eine Initiative, die Mitarbeitern und Studierenden von partizipierenden Universitäten und Organisationen einen Internetzugang an den Standorten aller teilnehmenden Organisationen ermöglicht. \n Zusätzliche Infomrationen zu eduroam findest Du hier: https://www.hdm-stuttgart.de/intranet/services/iz-it/wlan ",https://de.wikipedia.org/wiki/EDuroam,https://www.hdm-stuttgart.de/intranet/services/iz-it/wlan,
27,FALSE,FALSE,eduroam,eduroam_nutzung_wo,,Wo kann ich eduroam nutzen?,"Wo habe ich WLAN?
An welchen Standorten habe ich WLAN?","Der Zugang funktioniert an Standorten, die im eduroam-Verbund integriert sind. Dabei muss sowohl die eigene als auch die zu besuchende Einrichtung teilnehmen. \n Weitere Details zu eduroam findest Du hier: https://www.hdm-stuttgart.de/intranet/services/iz-it/wlan",,https://www.hdm-stuttgart.de/intranet/services/iz-it/wlan,
28,FALSE,FALSE,eduroam,eduroam_nutzung_requirements,,Was brauche ich für eduroam?,"Welche Voraussetzungen brauche ich für eduroam?
Was muss für eduroam installiert sein?","Der Rechner muss WLAN-fähig sein. \n Der WPA-Supplikant (das ist die Software, die die Verbindung aufbaut) muss installiert und konfiguriert sein. \n Die SSID eduroam oder 802.1X muss am Standort verfügbar sein.\n Es muss zumindest das Root-Zertifikat der Deutschen Telekom AG installiert sein. \n Weiter Informationen zu eduroam gibt es hier: https://www.hdm-stuttgart.de/intranet/services/iz-it/wlan",https://www.hdm-stuttgart.de/intranet/services/iz-it/wlan,https://www.hdm-stuttgart.de/intranet/services/iz-it/wlan,
29,FALSE,FALSE,eduroam,eduroam_nutzung_anmeldung,,Wie melde ich mich bei eduroam an?,"Wie verbinde ich mich mit dem WLAN? 
WLAN-Einstellungen?",Für die Nutzung wird lediglich Dein HdM-Account in der Form Benutzername@hdm-stuttgart bzw. xy007@hdm-stuttgart.de und das zugehörige Passwort benötigt. \n Weiterführende Informationen sind hier zu finden: https://www.hdm-stuttgart.de/intranet/services/iz-it/wlan,,https://www.hdm-stuttgart.de/intranet/services/iz-it/wlan,
30,FALSE,FALSE,eduroam,eduroam_nutzung_wer,,Wer kann das eduroam nutzen?,"Wer kann sich mit dem WLAN verbinden?
Für wen ist die WLAN Verbindung möglich? ",Studenten und Mitarbeiter von beteiligten Universitäten und Organisationen können eduroam verwenden.,,https://www.hdm-stuttgart.de/intranet/services/iz-it/wlan,
31,FALSE,FALSE,eduroam,eduroam_Windows_10,,Wie richte ich eduroam für Windows 10 ein?,"Wie kann ich eduroam für Windows 10 einrichten? 
Wie funktioniert die Einrichtung von eduroam für Windows 10? 
Wie geht die Einrichtung für Windows 10 von eduroam?",Für die Einrichtung von eduroam unter Windows 10 gibt es hier eine detaillierte Anleitung: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/eduroam-Windows10.pdf ,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/eduroam-Windows10.pdf,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/eduroam-Windows10.pdf,Link geändert
32,FALSE,FALSE,eduroam,eduroam_Windows_8,,Wie richte ich eduroam für Windows 8 ein?,"Wie geht die eduroam Installation mit Windows 8? 
Wie nutzt man eduroam mit Windows 8?",Für die Einrichtung von eduroam unter Windows 8 gibt es hier eine detaillierte Anleitung: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/eduroam-Windows8.pdf ,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/eduroam-Windows8.pdf,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/eduroam-Windows8.pdf,Link geändert
33,FALSE,FALSE,eduroam,eduroam_Windows_7,,Wie richte ich eduroam für Windows 7 ein?,"Wie geht die eduroam Installation mit Windows 7? 
Wie nutzt man eduroam mit Windows 7?",Für die Einrichtung von eduroam unter Windows 7 gibt es hier eine detaillierte Anleitung: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/eduroam-Windows7.pdf ,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/eduroam-Windows7.pdf,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/eduroam-Windows7.pdf,Link geändert
34,FALSE,FALSE,eduroam,eduroam_linux,,Wie richte ich eduroam für Ubuntu ein?,"""Wie geht die eduroam Installation mit Ubuntu? 
Wie nutzt man eduroam mit Ubuntu?""",Für die Einrichtung von eduroam für Ubuntu gibt es hier eine detaillierte Anleitung: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/eduroam-Ubuntu.pdf,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/eduroam-Ubuntu.pdf,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/pdf/eduroam-Ubuntu.pdf,Link geändert
35,FALSE,FALSE,eduroam,eduroam_general_root,,Was ist ein Wurzelzertifikat (Root-Zertifikat)?,,,https://www.hdm-stuttgart.de/intranet/services/iz-it/wlan,https://www.hdm-stuttgart.de/intranet/services/iz-it/wlan,
36,FALSE,FALSE,eduroam,eduroam_general_8021x,,Worum handelt es sich bei 802.1X ?,"Was ist 802.1X?
Für was kann 802.1X verwendet werden.","802.1X ist ein standardisiertes Protokoll zur Authentifizierung und Autorisierung in Rechnernetzen. Die Authentifizierung eines Teilnehmers erfolgt durch den Authenticator. Der prüft mittels eines Authentifizierungsservers (RADIUS-Server), die durch den Teilnehmer (Supplicant) übermittelten Authentifizierungsinformationen, und gewährt gegebenenfalls den Zugriff auf die angebotenen Dienste (LAN, VLAN oder WLAN). An der HdM kann 802.1X für den Zugang über WLAN verwendet werden. \n Mehr Informtationen zu dem Protokoll und eduroam findest Du hier: https://www.hdm-stuttgart.de/intranet/services/iz-it/wlan/#802.1X
",https://www.hdm-stuttgart.de/intranet/services/iz-it/wlan,https://www.hdm-stuttgart.de/intranet/services/iz-it/wlan,
37,FALSE,FALSE,Persönliche Websiten,persoenliche_website_erstellen,,Wer kann eine eigene Website erstellen ? ,"Persönliche Website erstellen?
Welche Benutzer können eigene Webseiten erstellen?","Das Informationszentrum-IT bietet jedem Benutzer die Möglichkeit, eigene Webseiten zu erstellen. Weitere Informationen zu persönlichen Websites gibt es hier: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#persoenliche_webseiten",https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#persoenliche_webseiten,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#persoenliche_webseiten,Link geändert
38,FALSE,FALSE,Persönliche Websiten,persoenliche_website_speicher,,Wie viel Speicher steht mir zur verfügung?,"Speicher für persönliche Webseiten?
Maximale Speicherung der Homepage-Daten?","Jedem User wird ein Volumen von 500MB zur Verfügung gestellt, welches die Homepage-Daten und die Datenbank umfasst. \n Details zum Thema persönliche Websites sind hier aufgeführt: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#persoenliche_webseiten",https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#persoenliche_webseiten,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#persoenliche_webseiten,Link geändert
39,FALSE,FALSE,Persönliche Websiten,persoenliche_website_benutzerordnung,,Was für eine Benutzerordnung gilt ?,"Persönliche Website Benutzerordnung
Informationen zur persönlichen Website",Die Benutzerordnung findest Du hier: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#persoenliche_webseiten,https://www.hdm-stuttgart.de/intranet/services/it/betriebsordnung/Benutzerordnung.pdf/,https://www.hdm-stuttgart.de/intranet/services/it/betriebsordnung/Benutzerordnung.pdf/,Link geändert
41,FALSE,FALSE,Persönliche Websiten,persoenliche_website_datenbank,,Verbinden SQL Datenbank zur persönlichen Website,"SQL Datenbank für persönliche Website?
Wie verbinde ich eine Datenbank mit meiner Website?",Mehr Infos wie Du eine SQL-Datenbank mit Deiner Website verbinden kannst gibt es hier: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#persoenliche_webseiten,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender,Link geändert
42,FALSE,FALSE,Persönliche Websiten,persoenliche_website_daten,,Wie kann ich meine Dateien verwalten ? ,"Dateiverwaltung über Filestore?
Filestore um Dateiein zu versenden?",Zugriff auf die Dateiverwaltung ist ausschließlich über den HdM Filestore möglich. Mehr Informationen kannst Du hier finden: https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender/#persoenliche_webseiten,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender,https://www.hdm-stuttgart.de/intranet/services/it/hilfestellung_fuer_endanwender,Link geändert
